# Метеостанция Черняховск, Россия, WMO_ID=26711, выборка с 21.05.2024 по 27.05.2025, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26711&lang=ru
#
"Местное время в Черняховске";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.05.2025 23:00";"10.8";"760.0";"";"";"86";"Ветер, дующий с юго-востока";"1";"3";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.05.2025 20:00";"18.9";"760.0";"";"";"49";"Ветер, дующий с северо-востока";"1";"5";"";"20–30%.";" ";"";"";"";"22.6";"";"";"";"";"";"20.0";"";"Осадков нет";"12";"";"";"";"";
"27.05.2025 19:00";"20.9";"760.0";"";"";"43";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.05.2025 18:00";"20.9";"760.0";"";"";"42";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.05.2025 17:00";"21.5";"760.0";"";"";"41";"Ветер, дующий с запада";"1";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"27.05.2025 15:00";"20.0";"760.0";"";"";"48";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.05.2025 14:00";"21.2";"761.0";"";"";"44";"Ветер, дующий с северо-запада";"1";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.05.2025 13:00";"20.0";"761.0";"";"";"48";"Ветер, дующий с северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.05.2025 12:00";"19.5";"761.0";"";"";"50";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.05.2025 11:00";"18.7";"761.0";"";"";"52";"Ветер, дующий с юго-востока";"1";"3";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.05.2025 08:00";"11.2";"761.0";"";"";"89";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.05.2025 07:00";"11.2";"761.0";"";"";"89";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.05.2025 06:00";"7.2";"760.0";"";"";"100";"Ветер, дующий с юго-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.05.2025 05:00";"5.4";"760.0";"";"";"100";"Ветер, дующий с юга";"1";"2";"";"";" ";"";"";"4.6";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"27.05.2025 03:00";"6.2";"760.0";"";"";"100";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.05.2025 02:00";"7.2";"760.0";"";"";"100";"Ветер, дующий с юго-запада";"1";"6";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.05.2025 01:00";"7.6";"759.0";"";"";"97";"Ветер, дующий с юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27.05.2025 00:00";"8.2";"759.0";"";"";"95";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.05.2025 23:00";"10.2";"759.0";"";"";"89";"Ветер, дующий с запада";"1";"6";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.05.2025 21:00";"12.7";"758.0";"";"";"77";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.05.2025 20:00";"13.3";"758.0";"";"";"80";"Ветер, дующий с северо-запада";"2";"7";"";"90  или более, но не 100%";" ";"";"";"";"21.8";"";"";"";"";"";"10.0";"";"Осадков нет";"12";"";"";"";"";
"26.05.2025 18:00";"14.6";"757.0";"";"";"83";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.05.2025 17:00";"16.3";"756.0";"";"";"78";"Ветер, дующий с северо-запада";"3";"7";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
"26.05.2025 16:00";"18.7";"756.0";"";"";"64";"Ветер, дующий с северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.05.2025 15:00";"21.2";"755.0";"";"";"48";"Ветер, дующий с северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.05.2025 14:00";"21.8";"755.0";"";"";"36";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.05.2025 13:00";"21.8";"755.0";"";"";"36";"Ветер, дующий с запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.05.2025 12:00";"20.8";"755.0";"";"";"36";"Ветер, дующий с запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.05.2025 11:00";"20.7";"755.0";"";"";"37";"Ветер, дующий с юго-запада";"2";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.05.2025 09:00";"18.3";"756.0";"";"";"55";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.05.2025 08:00";"16.2";"756.0";"";"";"60";"Ветер, дующий с юга";"1";"3";"";"Облаков нет.";" ";"";"";"4.3";"";"";"";"";"";"";"20.0";"";"Осадков нет";"12";"";"";"";"";
"26.05.2025 06:00";"8.4";"756.0";"";"";"95";"Ветер, дующий с юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"26.05.2025 05:00";"4.7";"756.0";"";"";"100";"Штиль, безветрие";"0";"1";"";"";" ";"";"";"4.3";"";"";"";"";"";"";"";"";"Осадков нет";"12";"";"";"";"";
